"Timecode","Content","Content_zh"
"00:04:09,400 --> 00:04:12,266","And I have to keep writing. And that's why ridiculous things come out.","我必須繼續寫下去。這就是為什麼會出現荒謬的內容。"
"00:04:12,266 --> 00:04:16,033","And I started this morning for the first time on Double Fine Adventure.","我今天早上第一次開始在 Double Fine Adventure 上寫作。"
"00:04:16,033 --> 00:04:18,733","Double Fine Adventure Adventure.","Double Fine Adventure 冒險。"
"00:04:18,733 --> 00:04:24,800","I don't even want to show you what I'm writing, because someone's going to like download it and be like, I've decoded the first notes.","我甚至不想給你看我在寫什麼，因為有人可能會下載並說，我已經解碼了第一筆記。"
"00:04:24,800 --> 00:04:26,733","And now I start talking about the game.","然後我開始談論這個遊戲。"
"00:04:26,733 --> 00:04:30,433","And now I start thinking about, should I do this idea?","然後我開始思考，我是否應該採用這個構想？"
"00:04:30,433 --> 00:04:32,433","I've been thinking about this, this idea.","我一直在思考這個，這個構想。"
"00:04:32,433 --> 00:04:35,933","I've been thinking about this idea and then right here, you can see there's a little star and a line,","我一直在思考這個構想，然後就在這裡，你可以看到有一個小星星和一條線，"
"00:04:35,933 --> 00:04:37,699","like this is where I had the idea for the game.","像這樣，這是我對遊戲構想的地方。"
"00:04:37,699 --> 00:04:40,033","So at least, it took at least three pages.","所以至少，這花了至少三頁。"
"00:04:42,633 --> 00:04:47,733","Schafer: Well, I can't tell you that, because I'm not sure if I like it or not.","Schafer: 嗯，我不能告訴你，因為我不確定我是否喜歡它。"
"00:04:47,733 --> 00:04:53,666","And it seemed like, sometimes it seems like you're not having any ideas, but you realize as you go over the last week there are like,","而且看起來，有時候似乎你沒有任何想法，但當你回顧過去一週時，你會發現，"
"00:04:53,666 --> 00:04:56,600","every day had some little tiny thing that moved it forward.","每天都有一些微小的事情推動它向前發展。"
"00:04:56,600 --> 00:05:00,933","And it's like you've got to move forward a little bit, because you get to that next deep well of ideas, you know.","就像你必須往前推進一點，因為你會到達下一個深層的創意源泉，你知道的。"
"00:05:00,933 --> 00:05:05,500","The first day, the most productive day like, oh, it can fit together like this. This is great.","第一天，最有成效的一天，像是，哦，可以這樣組合。這太棒了。"
"00:05:05,500 --> 00:05:08,100","And then, then I get a couple more ideas.","然後，我又有了幾個新的構想。"
"00:05:08,100 --> 00:05:10,466","You can see the stars and the stars here.","你可以看到這裡有星星和星星。"
"00:05:10,466 --> 00:05:14,300","And there're some days where no stars happen.","而有些日子則沒有任何靈感湧現。"
"00:05:14,300 --> 00:05:20,100","And I start writing the name ideas down here as you've seen before.","然後我開始把名字的想法寫在這裡，就像你之前看到的那樣。"
"00:05:20,100 --> 00:05:26,899","Because I do a lot, you do a lot of name brainstorming where you just write, ah, write down all these dumb names, trying to come up the name of the character.","因為我做了很多，你們也做了很多命名的頭腦風暴，你會寫下，啊，寫下所有這些愚蠢的名字，試圖想出角色的名字。"
"00:05:26,899 --> 00:05:32,000","I remember there's a page where I came up with the name Grim Fandango and wrote it really big and I was pretty excited about it.","我記得有一頁我想出了 Grim Fandango 這個名字，並且用了很大的字體寫下來，我對此感到相當興奮。"
"00:05:32,000 --> 00:05:37,366","Here's a copy of my notebook for Grim Fandango.","這是我 Grim Fandango 筆記本的副本。"
"00:05:37,366 --> 00:05:43,533","Let's see. Here's me talking about Mexican folklore and then here's me trying to figure out the name of the game.","讓我們看看。這裡是我在談論墨西哥民俗，然後是我在試圖弄清楚遊戲名稱。"
"00:05:43,533 --> 00:05:44,933","Dead Leads. Deadly Deeds.","Dead Leads. Deadly Deeds."
"00:05:44,933 --> 00:05:47,233","Deeds of Death. Death's Deeds.","Deeds of Death. Death's Deeds."
"00:05:47,233 --> 00:05:49,766","Here's trying to come up with ideas for the name.","這裡是在試圖想出名稱的構想。"
"00:05:49,766 --> 00:05:51,899","Reapers Holiday. Reapers Road Trip. Reapers Rendezvous.","Reapers Holiday. Reapers Road Trip. Reapers Rendezvous."
"00:05:51,899 --> 00:05:54,833","Reapers Last Ride. Reapers Road. Trail of the Reaper.","Reapers Last Ride. Reapers Road. Trail of the Reaper."
"00:05:54,833 --> 00:05:57,899","Tools of the Reaper. Death as a Salesman. Oh, that's been taken.","Tools of the Reaper. Death as a Salesman. 哦，那已經被使用了。"
"00:05:57,899 --> 00:06:00,566","Reaper Man. That's pretty good, Reaper Man.","Reaper Man. 那不錯，Reaper Man。"
"00:06:00,566 --> 00:06:02,333","The Remorseful Reaper. Bone to Lose.","The Remorseful Reaper. Bone to Lose."
"00:06:02,333 --> 00:06:04,166","Glen Gary Glen Reaper. Fear the Reaper.","Glen Gary Glen Reaper. Fear the Reaper."
"00:06:04,166 --> 00:06:07,800","Growl Reaper. Dougie Reaper. Dougie Reaper?","Growl Reaper. Dougie Reaper. Dougie Reaper?"
"00:06:07,800 --> 00:06:10,866","Reaping Ivy. Bony Manifesto. Friendly Reaper.","Reaping Ivy. Bony Manifesto. Friendly Reaper."
"00:06:10,866 --> 00:06:13,933","Chimp Reaper. That would have been good.","Chimp Reaper. 那會不錯。"
"00:06:13,933 --> 00:06:16,866","Oh, no. Not again.","哦，不。又來了。"
"00:06:16,866 --> 00:06:19,066","Grim Journey. Hungry Hunted. The Last Reap. The Final Reap.","Grim Journey. Hungry Hunted. The Last Reap. The Final Reap."
"00:06:19,066 --> 00:06:20,800","I put a box around the Last Reap.","我在 The Last Reap 周圍畫了一個框。"
"00:06:20,800 --> 00:06:23,833","Like that must have been a favorite idea for a while.","看起來那一定是持續一段時間的最愛想法。"
"00:06:23,833 --> 00:06:26,666","Grim Reaper. Grim Reaper. I'm still doing it.","Grim Reaper. Grim Reaper. 我還在這麼做。"
"00:06:26,666 --> 00:06:32,566","You can tell my fear is starting to mount, as I'm like, am I ever going to come up with a name for this game?","你可以看出我的恐懼感開始增強，像是，我是否能為這款遊戲想出一個名字？"
"00:06:32,566 --> 00:06:36,133","Oh my God. Ah! Something otherworld.","哎呀我的天。啊！一些超凡的東西。"
"00:06:36,133 --> 00:06:38,533","Something figures. The Last Fiesta. Grim Fandango.","一些形象。The Last Fiesta. Grim Fandango."
"00:06:38,533 --> 00:06:42,933","I'm such a fucking genius.","我真是個該死的天才。"
"00:06:42,933 --> 00:06:46,100","Ah, you can see what a relief that was.","啊，你可以看出那是多麼大的鬆一口氣。"
"00:06:46,100 --> 00:06:49,500","Offscreen Voice: I guess it's been a real long time since you made a 2-D adventure game.","螢幕外的聲音: 我猜你已經很久沒有做過2D冒險遊戲了。"
"00:06:49,500 --> 00:06:51,466","Schafer: Um hm.","Schafer: 嗯哼。"
"00:06:51,466 --> 00:06:53,533","Dutton: But do you think you've still got it?","Dutton: 但你覺得你還擁有那份能力嗎？"
"00:06:53,533 --> 00:06:57,166","Like, you still, are you still in touch with those skills?","像是，你還是，還保持著那些技能嗎？"
"00:06:57,166 --> 00:07:02,666","Schafer: And actually I've been doing like, I've been doing these interviews and surveys and you know,","Schafer: 其實我一直在做這些，我一直在做這些訪談和調查，你知道，"
"00:07:02,666 --> 00:07:10,433","discussions, like you know, about trying to figure out adventure games, history and what was good and bad and what we can change about them.","討論，像是你知道的，試圖了解冒險遊戲的歷史，哪些是好的，哪些是不好的，以及我們可以改變什麼。"
"00:07:10,433 --> 00:07:11,699","Wolpaw: These are all the ones you made, right?","Wolpaw: 這些都是你製作的，對嗎？"
"00:07:11,699 --> 00:07:16,633","And along the wall? Grim Fandango? I played Grim Fandango.","然後沿著牆嗎？Grim Fandango？我玩過 Grim Fandango。"
"00:07:16,633 --> 00:07:20,133","Monkey Island, didn't play. Day of the Tentacle, I didn't play.","猴島，我沒玩過。Day of the Tentacle，我也沒玩過。"
"00:07:20,133 --> 00:07:22,033","Full Throttle, I didn't. Psychonauts is good.","Full Throttle，我沒玩過。Psychonauts 還不錯。"
"00:07:22,033 --> 00:07:25,466","Schafer: Yeah, yeah. The writing was half good.","Schafer: 是的，是的。寫作一半不錯。"
"00:07:25,466 --> 00:07:29,166","Wolpaw: Yeah. There was... half of it was pretty good.","Wolpaw: 是的。有……其中一半相當不錯。"
"00:07:29,166 --> 00:07:35,366","But yeah. I don't know. You're making an adventure game.","但還是，不知道。你正在製作一款冒險遊戲。"
"00:07:35,366 --> 00:07:38,833","You going to do something different to make it better?","你會做些不同的事情來讓它變得更好嗎？"
"00:07:38,833 --> 00:07:43,166","Schafer: I'm trying to split up what was good about them and what was, what have we learned since and what was better.","Schafer: 我正在試圖分辨它們的優點，以及我們自那以來學到了什麼，什麼是更好的。"
"00:07:43,166 --> 00:07:44,766","What could be made better about them.","什麼地方可以做得更好。"
"00:07:44,766 --> 00:07:48,000","'Cause I don't want to make it just like a nostalgia thing.","因為我不想讓它僅僅成為一種懷舊的東西。"
"00:07:48,000 --> 00:07:51,033","Schafer: I think it's interesting to think about why people like adventure games.","Schafer: 我覺得思考人們為什麼喜歡冒險遊戲很有趣。"
"00:07:51,033 --> 00:07:54,699","And really what they like about them.","以及他們到底喜歡它們的什麼。"
"00:07:54,699 --> 00:08:01,600","Not just like someone who remembers, Monkey Island from like, oh, when I was 12 I played Monkey Island. I'd love to go play that again.","不僅僅是像有些人記得，猴島，像是，哦，當我12歲時我玩過猴島。我很想再玩一次。"
"00:08:01,600 --> 00:08:05,466","But who are actually playing them now and like what they actually enjoy about them.","而是真正現在在玩它們的人，以及他們實際上享受它們的哪些方面。"
"00:08:05,466 --> 00:08:11,766","Gilbert: Why is that a game like, you know, Monkey Island or Maniac Mansion that was made, you know, 20 years ago,","Gilbert: 為什麼像猴島或 Maniac Mansion 這樣的遊戲，知道的，20年前製作的，"
"00:08:11,766 --> 00:08:13,966","why is it that people still love those games?","人們還是喜歡那些遊戲的原因是什麼？"
"00:08:13,966 --> 00:08:20,533","Why is it that people post hundreds of videos on YouTube of themselves playing the music from those games?","為什麼人們會在 YouTube 上發佈數百個他們玩那些遊戲音樂的視頻？"
"00:08:20,533 --> 00:08:27,333","What, what was it about those that, that really was so interesting and touched people like that?","那些遊戲中，有什麼讓它們如此有趣並觸動人心？"
"00:08:27,333 --> 00:08:35,100","Gilbert: So is a lot of the interest that people have today in adventure games, is that more, do you think that's more nostalgia based?","Gilbert: 那麼，人們今天對冒險遊戲的興趣，大部分是基於懷舊嗎？"
"00:08:35,100 --> 00:08:44,032","Because there're a lot of people who love adventure games, but do they love the nostalgia of them as opposed to the actual adventure games?","因為有很多人愛冒險遊戲，但他們是愛懷舊感，而不是實際的冒險遊戲本身嗎？"
"00:08:44,033 --> 00:08:52,000","Gilbert: You know, you want to do something that really focuses on what made those old point-and-click adventure games a lot of fun","Gilbert: 你想做一些真正專注於那些老式點擊冒險遊戲有趣之處的事情"
"00:08:52,000 --> 00:08:58,000","and I mean, there's just like a rabid fan base for those things as we obviously saw.","我是說，這些東西有一個狂熱的粉絲群，正如我們明顯看到的。"
"00:08:58,000 --> 00:09:06,366","So you know, you really want to take from those games what made them really special.","所以你真的想從那些遊戲中汲取使它們特別的元素。"
"00:09:06,366 --> 00:09:11,266","But I also don't think you just want to go make a 2-D point-and-click adventure game,","但我也不認為你只是想去做一款2D點擊冒險遊戲，"
"00:09:11,266 --> 00:09:13,899","you know, with the little cursor that moves around and all that.","你知道的，配有那個移來移去的小光標之類的。"
"00:09:13,899 --> 00:09:21,299","Because I could never go back and just design Monkey Island again, because I'm a different person today, you know, than I was back then.","因為我永遠無法回去重新設計猴島，因為我今天是不同的人了，你知道的，和當時的我不同。"
"00:09:21,299 --> 00:09:24,799","The world has changed. Gamers have changed, you know, we've changed.","世界已經改變了。玩家已經改變了，你知道，我們也改變了。"
"00:09:24,799 --> 00:09:33,733","And so there's a lot, I think there's a lot that has to evolve in them and you know, I don't know exactly what those are off the top of my head.","所以我覺得它們中有很多東西必須演變，而你知道，我立刻想不出那些具體是什麼。"
"00:09:33,733 --> 00:09:39,533","But they do need to evolve, but they need to evolve in such a way that they don't lose the spirit of them","但它們確實需要演變，並且需要以不失去其精神的方式演變"
"00:09:39,533 --> 00:09:44,066","and they don't lose what made them so interesting to people.","而且它們不會失去讓人們如此感興趣的特質。"
"00:09:44,066 --> 00:09:50,500","Schafer: The things that came up most, when we talked about what was good about adventure games were the pacing of them.","Schafer: 當我們討論冒險遊戲的優點時，最常提到的是它們的節奏。"
"00:09:50,500 --> 00:09:53,866","I think that's important that people like a game that moves at their pace.","我認為很重要的是人們喜歡一款能夠按照他們的節奏前進的遊戲。"
"00:09:53,866 --> 00:10:05,000","I mean, obviously story and characters, even though the games have those, I still think adventure games are the genre that still puts them as the number one thing.","我是說，顯然故事和角色，儘管遊戲中有這些，我仍然認為冒險遊戲是那個仍然將它們作為首要元素的類型。"
"00:10:05,933 --> 00:10:08,133","Schafer: Hi, guys. I'm late for another meeting.","Schafer: 嗨，大家好。我又遲到了另一個會議。"
"00:10:09,000 --> 00:10:11,299","Schafer: You can talk about now or back then.","你們可以談談現在還是過去的情況。"
"00:10:11,299 --> 00:10:16,766","What you remember as the like, dislike the most about adventure games and the most frustrating moments you had?","你們記得對冒險遊戲最喜歡和最不喜歡的部分，以及你們遇到的最沮喪的時刻是什麼？"
"00:10:16,766 --> 00:10:19,700","Who wants to answer that one first?","誰想先回答這個？"
"00:10:19,700 --> 00:10:23,600","Chi: Pixel hunting, for sure. That was really frustrating.","Chi: 當然是像素狩獵。那真的讓人非常沮喪。"
"00:10:23,600 --> 00:10:27,566","Schafer: Do you remember an example of that?","Schafer: 你記得一個例子嗎？"
"00:10:27,566 --> 00:10:31,166","Chi: I think it was either in A King's Quest or Gabriel Knight game.","Chi: 我覺得是在《A King's Quest》或《Gabriel Knight》遊戲中。"
"00:10:31,166 --> 00:10:34,733","Schafer: It's going to seem fishy if you only pick Sierra games for the bad example.","Schafer: 如果你只舉 Sierra 的遊戲作為不好的例子，會顯得有點可疑。"
"00:10:34,733 --> 00:10:36,266","Chi: Well, that's, that's the thing.","Chi: 嗯，那就是重點。"
"00:10:36,266 --> 00:10:39,899","Because the Lucas Arts games had the same thing.","因為 Lucas Arts 的遊戲也有同樣的問題。"
"00:10:39,899 --> 00:10:42,299","Schafer: I've already apologized for that one.","Schafer: 我已經為那個道歉了。"
"00:10:42,299 --> 00:10:46,666","Schafer: One of the interesting advantages of adventure, well, I was thinking about the, a lot of people I talked to","Schafer: 冒險遊戲的一個有趣優勢，嗯，我在思考，很多我談過的人"
"00:10:46,666 --> 00:10:52,833","had the same experience of early adventure, the first adventure game experience was like this promise of infinite possibility.","都有相同的早期冒險遊戲經驗，第一次玩冒險遊戲的感覺就像是承諾了無限的可能。"
"00:10:52,833 --> 00:10:56,799","LeBreton: When I first started playing adventure games, I was like a kid and I didn't really understand games.","LeBreton: 當我第一次開始玩冒險遊戲時，我還是個孩子，並不真正理解遊戲。"
"00:10:56,799 --> 00:11:02,066","Games were still magical to me so I'd boot it up and I had no idea of what to expect. Like I had a Commodore 64.","遊戲對我來說仍然是神奇的，所以我會啟動它，完全不知道會發生什麼。就像我有一臺 Commodore 64。"
"00:11:02,066 --> 00:11:06,966","You know, just like, I don't know, it just created this feeling of completely crazy, open-ended possibility.","你知道，就像，我不知道，它只是創造了一種完全瘋狂、開放式可能性的感覺。"
"00:11:06,966 --> 00:11:13,233","Schafer: That's hard to still execute on that promise of infinite possibility I think with a modern adventure game.","Schafer: 我認為在現代冒險遊戲中，仍然要實現那種無限可能性的承諾是很困難的。"
"00:11:13,233 --> 00:11:18,133","When you were playing Machinarium you don't have that feeling like, I'm Mr. Robot and I can do whatever I want in this world.","當你玩 Machinarium 時，你不會有那種感覺，像我是 Mr. Robot，我可以在這個世界上做任何我想做的事情。"
"00:11:18,133 --> 00:11:25,399","It's more like this game about finding where the interaction is and what are the, what are all the interactions I can have in this world.","這更像是一款關於尋找互動的位置，以及我在這個世界上可以進行的所有互動的遊戲。"
"00:11:25,399 --> 00:11:32,600","Dvorsky: It should be more about playing with the game than trying to beat it as soon as possible.","Dvorsky: 它應該更多地關注與遊戲的互動，而不是盡快擊敗它。"
"00:11:32,600 --> 00:11:43,333","So you should be able to enjoy some places and situations, even for several times, even if you solved it already.","所以即使你已經解決了，你也應該能夠多次享受某些地點和情境。"
"00:11:43,333 --> 00:11:53,166","It should be fun to play that little puzzle or little interactive toy, again just for fun.","再次強調，玩那個小謎題或小互動玩具應該是有趣的，只是為了好玩。"
"00:11:53,166 --> 00:11:56,133","Wolpaw: I mean, I like that they have a, that they were funny.","Wolpaw: 我的意思是，我喜歡他們有趣的一面。"
"00:11:56,133 --> 00:12:00,399","They're kind of whimsical. I guess I just didn't like the puzzles maybe.","它們有點異想天開。我猜我只是可能不喜歡那些謎題。"
"00:12:00,399 --> 00:12:02,200","Schafer: Puzzles.","Schafer: 謎題。"
"00:12:02,200 --> 00:12:04,600","So you would say you would never advocate a game that had puzzles in it?","所以你會說你永遠不會推薦包含謎題的遊戲嗎？"
"00:12:04,600 --> 00:12:06,333","Wolpaw: No. No.","Wolpaw: 不了。不。"
"00:12:06,333 --> 00:12:08,100","Schafer: Like Portal, for example.","Schafer: 比如說《Portal》。"
"00:12:08,100 --> 00:12:12,066","Schafer: One of the big questions was whether or not games should have puzzles in them, in adventure games.","Schafer: 一個大問題是，冒險遊戲中的遊戲是否應該包含謎題。"
"00:12:12,066 --> 00:12:17,133","That came up when we were talking to the Super Brothers, Craig and Chris.","當我們與 Super Brothers 的 Craig 和 Chris 談話時，這個問題就出現了。"
"00:12:17,133 --> 00:12:23,233","About Sword and Sorcery, about how when they played the old adventure games the thing that didn't hold up for them was the puzzles,","關於《Sword and Sorcery》，關於他們玩老冒險遊戲時，那些對他們來說無法持續的是謎題，"
"00:12:23,233 --> 00:12:25,333","because there were these blocks to the flow.","因為那些對遊戲進程的阻礙。"
"00:12:25,333 --> 00:12:27,000","They really wanted the flow to happen.","他們真的希望遊戲進程能夠順暢。"
"00:12:27,000 --> 00:12:34,933","Adams: And actually those types of mechanics, that sort of inventory puzzles, are things that I don't miss from older adventure games.","Adams: 其實那些類型的機制，那種庫存謎題，是我不懷念老冒險遊戲中的東西。"
"00:12:34,933 --> 00:12:39,399","What I love about older adventure games is that there's, you have a flow and there's a story and there's characters.","我喜歡老冒險遊戲的是，它們有流暢的進程、有故事、有角色。"
"00:12:39,399 --> 00:12:41,100","And it just kind of surprises you.","然後它們會讓你感到驚喜。"
"00:12:41,100 --> 00:12:46,866","And it was never figuring out, you know, which little pixel and which screen do I combine with the other.","而且你從來不需要搞清楚，你知道，哪個小像素和哪個畫面應該與另一個結合。"
"00:12:46,866 --> 00:12:50,100","So, but we tried to make it more just flow.","所以，我們試著讓它更流暢。"
"00:12:50,100 --> 00:12:52,133","Schafer: I thought about that for a long time.","Schafer: 我考慮了很久。"
"00:12:52,133 --> 00:12:56,033","It was like, is that, are puzzles an antiquated, you know, notion for these games?","那是，謎題對於這些遊戲來說是一個過時的概念嗎？"
"00:12:56,033 --> 00:12:58,600","Are they a block to the narrative flow?","它們妨礙敘事的流暢嗎？"
"00:12:58,600 --> 00:13:02,200","But I felt like in the end that wasn't the case for the game we were making.","但我覺得最終對我們正在製作的遊戲而言，情況並非如此。"
"00:13:02,200 --> 00:13:06,533","I think the game they were making was a really specific, like for what they wanted to make,","我認為他們正在製作的遊戲是非常具體的，就像他們想要製作的那樣，"
"00:13:06,533 --> 00:13:09,399","it wouldn't have suited their purposes to have a bunch of like, head scratchers.","擁有一堆讓人挠頭的謎題不符合他們的目的。"
"00:13:09,399 --> 00:13:11,833","Piotrowski: But that was really a challenging moment.","Piotrowski: 但那確實是一個具有挑戰性的時刻。"
"00:13:11,833 --> 00:13:16,533","It was kind of like trying to shed some of those things that were like buried in our heads from playing all these games when we were kids.","那有點像是試圖擺脫那些從小玩這些遊戲時埋在我們腦海中的東西。"
"00:13:16,533 --> 00:13:20,733","Schafer: Like what, talking about adventure games, people's memories of playing adventure games when they were kids.","Schafer: 比如說，談論冒險遊戲，人們在童年時玩冒險遊戲的回憶。"
"00:13:20,733 --> 00:13:23,033","So many of them were like, that's the only thing I had to do that summer.","他們中有許多人會說，那是那個夏天我唯一做的事情。"
"00:13:23,033 --> 00:13:26,533","I got stuck in my grandma's house for the summer and I played Day of the Tentacle every day.","我整個夏天都被困在奶奶家，每天都玩《Day of the Tentacle》。"
