"Timecode","Content","Content_zh"
"00:06:34,940 --> 00:06:42,633","It's like, you know, coming up with a tool chain for everybody to use, where like, you know, whatever crazy idea that Tim has, we can get it into the game","這就像，知道的，為每個人設計一個工具鏈，無論Tim有什麼瘋狂的想法，我們都可以將其加入遊戲中，"
"00:06:42,640 --> 00:06:46,707","as quickly as possible and actually see whether or not it works.","盡可能快地，並實際看看它是否有效。"
"00:06:46,707 --> 00:06:50,000","And tune it up so that it can be as good as it can be.","然後進行調整，使其達到最佳效果。"
"00:06:50,000 --> 00:06:52,040","I like being behind the scenes.","我喜歡在幕後工作。"
"00:06:53,160 --> 00:06:58,160","Schafer: That's crazy, OK. Programming is actually happening, on the game All right, you guys.","Schafer：那太瘋狂了，好的。程式編寫實際上正在進行中，遊戲正在製作中，好的，大家。"
"00:06:58,160 --> 00:07:02,440","Awesome. That's cool. We're actually doing actual work.","太棒了。這很酷。我們實際上正在做真正的工作。"
"00:07:03,700 --> 00:07:05,900","Schafer: I Probably should go design it now.","Schafer：我可能應該現在去設計它了。"
"00:07:07,940 --> 00:07:13,167","Dillon: It's really nice to just get something on the screen and like that's always the first step to, like it's very clarifying","Dillon：把東西放在螢幕上真的很好，而且這總是第一步，就像是一個非常清晰的過程，"
"00:07:13,167 --> 00:07:20,800","to, you know, have stuff present and actually interactive, because then it's easy to figure out what to do next basically.","知道的，有東西展示並且實際可互動，因為這樣基本上就很容易弄清楚下一步該做什麼。"
"00:07:26,240 --> 00:07:28,120","Rice: Oliver. Franzke: Hello!","Rice：Oliver。Franzke：你好！"
"00:07:28,240 --> 00:07:29,340","What have you got, man?","你有什麼，兄弟？"
"00:07:29,920 --> 00:07:31,280","Franzke: It's pretty cool.","Franzke：這很酷。"
"00:07:33,880 --> 00:07:35,000","Rice: This is the game?","Rice：這是遊戲？"
"00:07:35,180 --> 00:07:39,481","Franzke: It's kind of a game. Rice: Oh nice! Walking in 3-D space.","Franzke：這算是一個遊戲。Rice：哦，真棒！在3D空間中行走。"
"00:07:39,860 --> 00:07:46,280","Franzke: Well, it's like scaling it vertically, but that's, that's pretty much how we're going to do it in the final game as well.","Franzke：嗯，就像垂直縮放，但這差不多也是我們在最終遊戲中打算怎麼做的。"
"00:07:46,280 --> 00:07:51,520","Rice: So all these are flat planes and you're just scaling the size of the character?","Rice：所以這些都是平面，你只是縮放角色的大小？"
"00:07:51,980 --> 00:08:00,620","Rice: And then we've got Oliver and he's doing a lot of system work on the engine and getting the engine kind of in shape.","Rice：然後我們有Oliver，他在引擎上做了很多系統工作，並讓引擎處於良好狀態。"
"00:08:00,620 --> 00:08:03,360","Franzke: Well I was born in Germany of course i'm from Germany.","Franzke：嗯，我當然是在德國出生的，我來自德國。"
"00:08:03,366 --> 00:08:05,266","In fact, from East Germany.","事實上，來自東德。"
"00:08:06,140 --> 00:08:13,300","So because of historic reasons I can be here today, otherwise I would probably be in Moscow right now, I guess.","所以由於歷史原因，我今天才能在這裡，否則我現在可能正在莫斯科，我猜。"
"00:08:13,300 --> 00:08:19,640","I'd probably follow the people that work in the industry, like from a young age, you know, I always was playing games and was interested in the medium.","我可能會追隨那些在這行工作的人，從小我就一直在玩遊戲，對這種媒介感興趣。"
"00:08:19,640 --> 00:08:26,433","It's certainly kind of strange to be here now, to actually write adventure game from scratch.","現在能在這裡從零開始編寫冒險遊戲，當然有點奇怪。"
"00:08:26,440 --> 00:08:30,500","It's kind of cool, I guess it's what a lot of people in the gaming industry kind of dream about","這有點酷，我猜這是許多遊戲行業的人夢寐以求的，"
"00:08:30,500 --> 00:08:33,980","and would love to do and it's kind of, it's awesome to be here now at this time","並且他們很想做，現在能在這個時候在這裡，真的很棒，"
"00:08:33,980 --> 00:08:37,679","and like be able to be part of this project, for sure.","並且能成為這個項目的一部分，肯定的。"
"00:08:37,679 --> 00:08:39,899","It's very exciting.","這非常令人興奮。"
"00:08:41,059 --> 00:08:47,080","I should probably mention that this is not the final game, so please nobody freak out at this point yet.","我可能應該提到這不是最終的遊戲，所以請大家暫時不要驚慌。"
"00:08:47,560 --> 00:08:50,480","Schafer: You know, I've never worked with Oliver before directly.","Schafer：你知道，我以前從未直接與Oliver合作過。"
"00:08:50,480 --> 00:08:52,100","He's worked on Once Upon a Monster.","他曾在《從前有怪獸》中工作過。"
"00:08:52,100 --> 00:08:56,433","And it's funny, he worked on the special edition of Monkey Island back at Lucas.","有趣的是，他曾在Lucas工作時參與了《猴島奇兵》的特別版。"
"00:08:56,440 --> 00:08:58,140","Also he's German.","他也是德國人。"
"00:09:01,500 --> 00:09:07,826","Franzke: And if I have time, which would be awesome, like to actually dialogue system so you can initiate like a dialogue with some...","Franzke：如果我有時間，那將會很棒，比如實際的對話系統，這樣你可以發起與某些……的對話。"
"00:09:07,826 --> 00:09:09,426","some other thing in the world.","世界上的其他東西。"
"00:09:09,426 --> 00:09:14,900","Kipnis: So what we're looking at is an implementation of that, of a dialogue sequencer.","Kipnis：所以我們正在看的就是對話序列器的實現。"
"00:09:14,900 --> 00:09:17,460","We have this database of lines.","我們有這樣一個台詞數據庫。"
"00:09:17,460 --> 00:09:19,894","So i'm just using that to test out my system.","所以我只是在用它來測試我的系統。"
"00:09:19,900 --> 00:09:26,866","So I wrote this little test dataset that the red bots are going to insult each other with.","所以我寫了這個小的測試數據集，紅色機器人將會用它互相侮辱。"
"00:09:26,866 --> 00:09:30,946","And so, yeah, let me show you what it actually looks like when you play it.","所以，是的，讓我展示一下實際玩起來的樣子。"
"00:09:32,180 --> 00:09:36,847","My friends had Nintendo and that was, that was the best for me.","我的朋友們有任天堂，那對我來說是最棒的。"
"00:09:36,847 --> 00:09:40,507","Like I remember I played a lot of Super Mario Brothers.","我記得我玩了很多《超級瑪利歐兄弟》。"
"00:09:41,066 --> 00:09:49,200","And I mean, that kind of blew my mind at the time, because when I was growing up I was kind of the oldest kid.","我的意思是，那當時真的讓我大開眼界，因為我成長時有點是最年長的孩子。"
"00:09:49,200 --> 00:09:55,799","And I would come up with games to play with everyone else to entertain them and stuff.","我會想出一些遊戲來和其他人一起玩，娛樂他們之類的。"
"00:09:55,799 --> 00:10:01,919","And I realized when I played Super Mario Brothers that this was kind of the same thing.","然後我意識到，當我玩《超級瑪利歐兄弟》時，這有點像同樣的事情。"
"00:10:01,920 --> 00:10:08,626","Like someone made up like this like little world for other people to experience and to see.","就像有人為其他人創造了這樣一個小世界來體驗和觀看。"
"00:10:08,626 --> 00:10:11,387","And you didn't even have to be there; And it was just like magical.","而且你甚至不需要在那裡；這就像是魔法一樣。"
"00:10:11,387 --> 00:10:15,400","It was like magical technology where I can do this stuff that I had been doing as a child.","這像是魔法般的技術，讓我能做那些我童年時做的事情。"
"00:10:15,400 --> 00:10:18,667","That was like my dream. I got my dream job somehow, basically.","那就是我的夢想。總的來說，我以某種方式得到了我的夢想工作。"
"00:10:18,667 --> 00:10:25,161","Schafer: And she, Anna's been implementing my dialogue longer than anybody in the world.","Schafer：還有她，Anna，比世界上任何人都更早開始實現我的對話。"
"00:10:25,161 --> 00:10:27,781","What the hell is that sound? [siren in background].","那到底是什麼聲音？[背景有警報聲]。"
"00:10:27,781 --> 00:10:29,281","That happens every Tuesday at noon.","那每個星期二中午都會發生。"
"00:10:29,760 --> 00:10:32,720","It's not Tuesday. It is Tuesday.","不是星期二。就是星期二。"
"00:10:33,340 --> 00:10:35,320","You know, you hear this robot voice?","你知道的，你聽到這個機器人聲嗎？"
"00:10:39,860 --> 00:10:41,040","Where's the robot voice?","機器人聲在哪裡？"
"00:10:41,040 --> 00:10:41,540","Oh.","哦。"
"00:10:41,540 --> 00:10:43,940","[faint distorted voice in background].","[背景有微弱的扭曲聲音]。"
"00:10:43,940 --> 00:10:44,980","You can barely even hear that.","你幾乎聽不到。"
"00:10:44,980 --> 00:10:47,300","What if that was saying ""get out of the building""?","如果那是在說“滾出這棟建築物”呢？"
"00:10:47,307 --> 00:10:48,733","I don't know.","我不知道。"
"00:10:48,740 --> 00:10:51,580","It sounds like, like our government has been shut down.","聽起來像是，我們的政府已經關閉了。"
"00:10:52,440 --> 00:10:57,413","You are all loyal servants of the...ok so I was saying,","你們都是……的忠實僕人……好的，我剛才說到，"
"00:10:57,420 --> 00:11:02,646","I mean no one's had to implement more of my dialogue ever than Anna, probably because she's been doing it since Psychonauts.","我是說，沒有人比Anna更需要實現我的對話，可能因為她從《Psychonauts》開始就一直在做。"
"00:11:02,646 --> 00:11:09,566","And hopefully on this game, I mean she's... I haven't written a lot of dialogue yet, but she already knows kind of what I'm going to write structurally.","希望在這個遊戲中，我的意思是她……我還沒寫很多對話，但她已經大致知道我將結構性地寫什麼。"
"00:11:09,566 --> 00:11:12,146","And so she's already writing the systems to implement that.","所以她已經在寫系統來實現這一點。"
"00:11:12,720 --> 00:11:16,020","Rice: So then we've also got Lee Petty, who is the art director.","Rice：然後我們還有Lee Petty，他是藝術總監。"
"00:11:16,900 --> 00:11:19,100","Petty: It's kind of hard to tune for unless you have...","Petty：除非你有……否則有點難以調整。"
"00:11:19,100 --> 00:11:23,000","Rice: This is the old one and this is the new one.","Rice：這是舊的，這是新的。"
"00:11:23,500 --> 00:11:24,566","Petty: That's the old one?","Petty：那是舊的？"
"00:11:24,566 --> 00:11:26,246","Rice: This is the old one, yeah.","Rice：這是舊的，對。"
"00:11:26,246 --> 00:11:27,340","Petty: That's a little different than I remember it.","Petty：那和我記得的有點不同。"
"00:11:27,480 --> 00:11:31,880","Petty: I've pretty much been in the game industry since 1996 constantly.","Petty：我幾乎從1996年開始就一直在遊戲行業。"
"00:11:32,220 --> 00:11:33,620","I was at Accolade for about five years.","我在Accolade工作了大約五年。"
"00:11:33,620 --> 00:11:37,953","I worked on a variety of projects there, some of which shipped, some of which didn't.","我在那裡參與了各種項目，有些項目發佈了，有些沒有。"
"00:11:37,960 --> 00:11:39,227","I actually was cursed.","我其實被詛咒了。"
"00:11:39,227 --> 00:11:42,247","I don't remember how many years, but I think it was like my first three years in the industry,","我不記得多少年了，但我想是我在這行業的前三年，"
"00:11:42,247 --> 00:11:44,107","everything I worked on was cancelled.","我參與的每一個項目都被取消了。"
"00:11:44,300 --> 00:11:46,100","It was like, ahhh.","那很沮喪。"
"00:11:46,100 --> 00:11:49,666","I can't get a single game on my resume.","我的履歷上都沒有一款遊戲。"
"00:11:49,666 --> 00:11:53,186","Luckily games didn't take three years to make each back then, right?","幸運的是，當時遊戲製作不需要三年一款，對吧？"
"00:11:53,186 --> 00:11:54,306","Schafer: Yeah, Lee's been here for a while.","Schafer：是的，Lee已經在這裡一段時間了。"
"00:11:54,306 --> 00:11:58,106","He was, came in, in the middle of Brutal Legend and took it over and made it look good.","他在《Brutal Legend》進行到一半時加入，接手並讓它看起來很好。"
"00:11:58,740 --> 00:12:00,520","He's been in the industry for a long time.","他在這行業已經很久了。"
"00:12:00,520 --> 00:12:06,600","I think if you look at him you can see the, it's a wear on his face from the games industry.","我覺得如果你看著他，你能看到他臉上的痕跡，這是遊戲行業帶來的。"
"00:12:06,600 --> 00:12:08,566","No, he's worked on the games for a long time.","不，他已經在遊戲行業工作了很長時間。"
"00:12:08,566 --> 00:12:10,726","He knows, he knows everything.","他什麼都知道。"
"00:12:10,726 --> 00:12:12,454","He's, you know, he's run his own projects.","他，知道的，他自己管理過項目。"
"00:12:12,460 --> 00:12:15,193","He ran Stacking all by himself. I didn't get involved in that at all.","他獨自運營了《Stacking》。我完全沒參與那個。"
"00:12:15,200 --> 00:12:17,580","He wrote the dialogue for it. He did everything.","他為那個寫了對話。他做了所有事情。"
"00:12:17,580 --> 00:12:20,420","So we're lucky to have him on projects for a little while.","所以我們很幸運能在項目上有他一段時間。"
"00:12:20,420 --> 00:12:22,960","I'm trying to figure out whether we can steal him for good or not.","我在試圖弄清楚我們是否能永久挖走他。"
"00:12:23,220 --> 00:12:26,121","But there's so many other things we need him to do.","但我們還有很多其他事情需要他做。"
"00:12:26,300 --> 00:12:28,680","Don't let him see this footage, though, 'cause he'll ask for a raise.","不過不要讓他看到這些片段，因為他會要求加薪。"
"00:12:30,360 --> 00:12:33,880","Rice: Yeah. We're starting to get like a team on the game.","Rice：是的。我們開始為遊戲組建一個團隊。"
"00:12:34,080 --> 00:12:36,546","Schafer: This is the nightmare team from hell, you guys.","Schafer：這就是來自地獄的夢魘團隊，夥計們。"
"00:12:36,660 --> 00:12:39,800","You've never seen a sicker, crazier team.","你們從未見過如此病態、瘋狂的團隊。"
"00:12:40,533 --> 00:12:44,233","Petty: I'm getting Wi-Fi but it's not connecting to the Skype.","Petty：我有Wi-Fi了，但它無法連接到Skype。"
"00:12:44,233 --> 00:12:45,833","Did you, you signed out on purpose, right?","你是故意登出嗎？對吧？"
"00:12:45,833 --> 00:12:47,700","Rice: Yeah, because it went away.","Rice：是的，因為它消失了。"
"00:12:47,700 --> 00:12:49,000","Petty: Yeah, I don't know what's going on.","Petty：是的，我不知道發生了什麼。"
"00:12:49,000 --> 00:12:52,960","Skype server seemed like they're having issues.","Skype伺服器似乎出了問題。"
"00:12:52,960 --> 00:12:55,560","Schafer: OK, this is the first stand-up. Isn't it exciting?","Schafer：好的，這是第一次站立會議。不是很興奮嗎？"
"00:12:55,560 --> 00:12:57,327","We can't do it without Bagel. You can't get Bagel?","我們沒有Bagel就做不到。你找不到Bagel嗎？"
"00:12:57,760 --> 00:12:59,340","Rice: Internet's being weird.","Rice：網路有點怪異。"
"00:12:59,340 --> 00:13:00,506","Kipnis: Should we just call him?","Kipnis：我們應該直接打電話給他嗎？"
"00:13:00,600 --> 00:13:01,900","Schafer: Bagel, we're having troubles with Skype.","Schafer：Bagel，我們在Skype上遇到了麻煩。"
"00:13:01,900 --> 00:13:03,400","Can we just speaker-phone you in?","我們可以用揚聲電話連接你嗎？"
"00:13:04,060 --> 00:13:05,240","Bagel: Yeah, let's do it.","Bagel：是的，讓我們這麼做吧。"
"00:13:05,240 --> 00:13:06,940","Schafer: OK, we're doing it.","Schafer：好的，我們來做。"
"00:13:06,940 --> 00:13:08,340","Rice: Is that all the way up?","Rice：音量開到最響了嗎？"
"00:13:08,340 --> 00:13:10,507","Schafer: That's as loud as it gets.","Schafer：這已經是最大聲音了。"
"00:13:10,507 --> 00:13:13,787","Say hi, Bagel. Bagel: Hey, everybody.","說聲嗨，Bagel。Bagel：大家好。"
"00:13:13,900 --> 00:13:19,907","Rice: And then we've also got, we've always had Bagel on, doing like concept arts and backgrounds and stuff like that.","Rice：然後我們還有，Bagel一直在做概念藝術和背景之類的東西。"
"00:13:19,960 --> 00:13:27,100","But now we've got an art director on the project that'll actually start trying to take those images that Bagel has made","但現在我們項目上有了一位藝術總監，會開始嘗試將Bagel製作的那些圖像"
"00:13:27,100 --> 00:13:32,520","and figure out how to actually get them in a game and get them to be like working game assets.","並弄清楚如何將它們實際地放入遊戲中，讓它們成為運作中的遊戲資產。"
"00:13:32,520 --> 00:13:34,754","Schafer: Bagel Stapley, Nathan.","Schafer：Bagel Stapley，Nathan。"
"00:13:34,920 --> 00:13:36,653","Stapley: Buddy.","Stapley：夥計。"
"00:13:36,660 --> 00:13:40,060","Schafer: Look at that baaaaaaa. Lee Petty is here.","Schafer：看看那個baaaaaaa。李Petty在這裡。"
"00:13:40,240 --> 00:13:41,280","Petty: What's up, Bagel?","Petty：Bagel，怎麼樣？"
"00:13:41,280 --> 00:13:42,780","Schafer: Lee Petoir is here.","Schafer：李Petty在這裡。"
