"Timecode","Content","Content_zh"
"00:02:34,995 --> 00:02:39,305","You know, you have to kind of act like you're famous before you're famous.","你知道的，在真正出名之前，你得先假裝自己很有名。"
"00:02:41,800 --> 00:02:42,520","That sounds funny.","那聽起來很好笑。"
"00:02:42,660 --> 00:02:45,280","I learned that from an interview with David Lee Roth about Van Halen.","我是在一次關於范·海倫的訪談中向大衛·李·羅斯學到的。"
"00:02:45,287 --> 00:02:47,230","Like we always acted like we were hot shit.","就像我們總是裝作自己很厲害。"
"00:02:47,230 --> 00:02:51,145","We had a big hit, Full Throttle, it's called Full Throttle and it sold a million copies","我們有一個大熱門，《Full Throttle》，就叫《Full Throttle》，賣出了百萬份"
"00:02:51,145 --> 00:02:54,257","and that was really big for those PC graphic adventures.","這對那些PC圖形冒險遊戲來說真的是很大的成就。"
"00:02:54,257 --> 00:02:58,941","And then I made a game called Grim Fandango and that won Game of the Year with Game Spot","然後我做了一款叫做《Grim Fandango》的遊戲，還贏得了Game Spot的年度遊戲獎"
"00:02:58,941 --> 00:03:01,347","and that was the big thing that helped a lot.","那是幫助很大的重要事件。"
"00:03:01,347 --> 00:03:05,978","Grim Fandango is set in the Land of the Dead, yeah.","《Grim Fandango》設定在死者之地，是的。"
"00:03:05,978 --> 00:03:12,050","And it was, it sold about half a million units and it was seen as not being commercially successful.","它銷量約為五十萬套，被認為在商業上並不成功。"
"00:03:12,050 --> 00:03:14,792","And it was one of the reasons that adventure games died.","這也是冒險遊戲衰落的原因之一。"
"00:03:14,792 --> 00:03:19,468","I mean, I heard a friend of mine, who worked in another game company, saying we tried to get an adventure game made","我的意思是，我聽到一個在另一家遊戲公司的朋友說，我們試圖製作一款冒險遊戲"
"00:03:19,468 --> 00:03:23,350","and they said, well look, you know, Grim Fandango didn't do that well.","他們說，好吧，你知道的，《Grim Fandango》表現不怎麼樣。"
"00:03:23,350 --> 00:03:26,493","So obviously, you know, it was a good game, it won Game of the Year.","所以很明顯，你知道的，那是一款好遊戲，贏得了年度遊戲獎。"
"00:03:26,493 --> 00:03:31,610","And if Game of the Year can't sell, you know, as many copies as it needs to, then maybe that genre's dead.","如果年度遊戲獎都賣不出去足夠的份數，那麼也許那個類型已經死了。"
"00:03:31,610 --> 00:03:37,750","So I feel some responsibility to make a good game and make it do well.","所以我覺得有責任製作一款好遊戲並讓它表現出色。"
"00:03:39,020 --> 00:03:40,180","Rice: He's been excited about it.","Rice: 他對此一直很興奮。"
"00:03:40,180 --> 00:03:46,947","I mean, he's wanted to return to adventure games for a while and it's just been a matter of not knowing how to make that happen.","我的意思是，他想回到冒險遊戲已經有一段時間，只是不知道如何實現。"
"00:03:46,947 --> 00:03:53,756","Schafer: But fans are always saying they would want, they want one, but a publisher would say, we can't make money doing those.","Schafer: 但粉絲們總是說他們想要一款，他們想要一款，但發行商會說，我們做那些賺不到錢。"
"00:03:53,756 --> 00:04:00,773","So something like Kickstarter shows up, which is this crowd sourcing website, where everybody can back a project.","所以像Kickstarter這樣的眾籌網站出現了，大家可以支持一個項目。"
"00:04:00,773 --> 00:04:06,310","You pitch your project and you get backers and then if you meet your goals, you get the money and you build your project.","你提出你的項目，獲得支持者，如果達到目標，你就會獲得資金並建立你的項目。"
"00:04:06,310 --> 00:04:10,468","Doing an adventure game is interesting, because it's the only, like the only way you could do that,","製作冒險遊戲很有趣，因為這是唯一的方法，"
"00:04:10,468 --> 00:04:14,319","letting the fans like, kind of put their money where their mouth is.","讓粉絲們實際出錢支持。"
"00:04:14,319 --> 00:04:15,738","Is it that? Wait a second.","是這樣的嗎？等一下。"
"00:04:15,738 --> 00:04:17,219","Did I get that backwards? Yeah.","我把順序搞反了嗎？對。"
"00:04:17,219 --> 00:04:18,267","Host: No, you're right. Yeah.","主持人：不，你說得對。對。"
"00:04:18,267 --> 00:04:21,476","Some loud mouth fan, no, I don't want to buy Trenched, but what about an adventure game?","某個嘴巴大的粉絲說，不，我不想買《Trenched》，但是冒險遊戲呢？"
"00:04:21,476 --> 00:04:23,541","Schafer: Exactly.","Schafer: 完全正確。"
"00:04:23,541 --> 00:04:24,837","Shahani: Explain your Kickstarter campaign.","Shahani: 解釋一下你的Kickstarter活動。"
"00:04:24,837 --> 00:04:26,596","What have you just done?","你剛剛做了什麼？"
"00:04:26,596 --> 00:04:29,676","Schafer: Yeah. What have we done?","Schafer: 是的。我們做了什麼？"
"00:04:29,676 --> 00:04:31,835","Schafer: Oh, sorry. I didn't see you there.","Schafer: 哦，抱歉。我沒看到你在那裡。"
"00:04:31,835 --> 00:04:35,184","You caught me indulging in one of my many impressive hobbies.","你抓到我在沉溺於我眾多令人印象深刻的愛好之一。"
"00:04:35,184 --> 00:04:36,727","I'm Tim Schafer.","我是蒂姆·斯切弗。"
"00:04:36,727 --> 00:04:39,223","Schafer: And so we put a pitch video up where we said we want to make a game.","Schafer: 所以我們上傳了一個宣傳視頻，說我們想製作一款遊戲。"
"00:04:39,223 --> 00:04:44,402","And the idea was, what if we made one of these adventure games that most publishers don't want to fund these days?","我們的想法是，如果我們製作一款大多數發行商今天不願意資助的冒險遊戲，會怎麼樣？"
"00:04:44,402 --> 00:04:47,380","And one of my favorite types of games to make is adventure games.","而且製作冒險遊戲是我最喜歡的遊戲類型之一。"
"00:04:47,380 --> 00:04:51,851","But these days, it seems like adventure games are almost a bit of a lost art form.","但現在，冒險遊戲似乎幾乎成為了一種失傳的藝術形式。"
"00:04:51,851 --> 00:04:56,339","They exist in our dreams and our memories and in Germany.","它們存在於我們的夢想與記憶中，也存在於德國。"
"00:04:56,339 --> 00:05:00,872","Schafer: Maybe that would get people excited about getting a chance to do something that couldn't be funded any other way.","Schafer: 也許這能讓人們有興趣去嘗試以其他方式無法資助的項目。"
"00:05:00,872 --> 00:05:02,168","Schafer: It's perfect.","Schafer: 這太完美了。"
"00:05:02,168 --> 00:05:03,863","We got the perfect team here at Double Fine to make it.","我們在Double Fine有完美的團隊來製作它。"
"00:05:03,863 --> 00:05:06,386","We got the inventor of the genre here, Ron Gilbert.","我們有這個類型的創始人，羅恩·吉爾伯特。"
"00:05:06,386 --> 00:05:08,668","Oh, look! There he is right now.","哦，看看！他現在就在這裡。"
"00:05:08,668 --> 00:05:11,438","Maybe he'll help us.","也許他會幫助我們。"
"00:05:12,960 --> 00:05:13,920","He'll help us.","他會幫助我們。"
"00:05:13,969 --> 00:05:18,686","Gilbert: You know, we've always talked about wanting to do, you know, more classic adventure stuff.","Gilbert: 你知道，我們一直在談論想做更多經典的冒險遊戲。"
"00:05:18,686 --> 00:05:24,665","And so doing the Kickstarter thing, it's like, yeah, that sounds, I mean, that sounds really like an interesting idea.","所以做Kickstarter這件事，就像，是的，那聽起來，嗯，那聽起來真的很有趣。"
"00:05:24,665 --> 00:05:29,210","I think we were both very skeptical about the amount of money.","我覺得我們對金額都很懷疑。"
"00:05:29,210 --> 00:05:34,327","Schafer: So, we are asking for this much to make the game and this much to film it.","Schafer: 所以，我們為了製作這款遊戲和拍攝它，要求了這麼多資金。"
"00:05:34,327 --> 00:05:38,079","And that may seem like a lot of money, but it's really not that much for a game budget these days.","這可能看起來是一大筆錢，但對於現在的遊戲預算來說，真的不算太多。"
"00:05:38,079 --> 00:05:39,683","It's pretty small, actually.","其實相當小。"
"00:05:39,683 --> 00:05:43,496","Schafer: And I just never thought you could get the kind of money that would actually pay for a whole game budget.","Schafer: 我從未想過你能得到足夠支付整個遊戲預算的資金。"
"00:05:43,496 --> 00:05:45,715","Schafer: Hello, potential backers.","Schafer: 你好，潛在的支持者。"
"00:05:45,715 --> 00:05:47,166","I could do all three options.","我可以做所有三個選項。"
"00:05:47,166 --> 00:05:49,724","Thank you for donating well over the amount we asked for.","感謝你們捐贈金額遠超我們的要求。"
"00:05:49,724 --> 00:05:50,989","That's so great.","那太好了。"
"00:05:50,989 --> 00:05:53,085","We have too much money now.","我們現在有太多錢了。"
"00:05:53,085 --> 00:05:54,288","Damn you!","該死！"
"00:05:54,288 --> 00:05:56,755","Why haven't anyone given us any money?","為什麼沒有人給我們錢？"
"00:05:56,755 --> 00:05:58,297","I'm so sad.","我好難過。"
"00:05:58,297 --> 00:06:00,733","That doesn't seem believable.","那聽起來不可信。"
"00:06:00,733 --> 00:06:02,265","Yeah, we're not going to use that one.","對，我們不會用那個。"
"00:06:02,265 --> 00:06:03,684","Or just moderately, hello.","或者只是適度地，哈囉。"
"00:06:03,684 --> 00:06:07,013","Thank you for dedicating the appropriate amount of...","感謝你們投入適當的資金……"
"00:06:07,013 --> 00:06:11,514","Schafer: Because the previous projects in Kickstarter had only been, I don't know what the maximum was before then,","Schafer: 因為之前在Kickstarter上的項目只是，我不知道以前的最高是多少，"
"00:06:11,514 --> 00:06:13,796","but it looked like they're like forty grand.","但看起來它們像是四萬美元。"
"00:06:13,796 --> 00:06:17,494","You know, I mean, we're used to making projects that were like, you know, Brütal.","你知道，我們習慣製作那種，你知道，殘酷的項目。"
"00:06:17,494 --> 00:06:19,990","Like 20 million dollars and these smaller games, like two million.","像是兩千萬美元和這些更小的遊戲，像是兩百萬。"
"00:06:19,990 --> 00:06:22,733","It was like, no way you can get two million from Kickstarter.","這就像，沒門從Kickstarter籌到兩百萬。"
"00:06:22,733 --> 00:06:24,031","Could you?","可以嗎？"
"00:06:24,031 --> 00:06:27,238","Schafer: I hope this works out, because it is kind of, that enough people got together,","Schafer: 我希望這能成功，因為這算是足夠的人聚集在一起，"
"00:06:27,238 --> 00:06:29,334","are they going to actually make a game like this happen?","他們會實際製作出這樣的遊戲嗎？"
"00:06:29,334 --> 00:06:34,760","A game like, that we haven't really been able to make happen for business reasons for like, many, many years.","一款我們因為商業原因多年來一直無法實現的遊戲。"
"00:06:34,760 --> 00:06:37,934","Gilbert: Or we'll just prove all those publishers right.","Gilbert: 或者我們會證明所有那些發行商是對的。"
"00:06:37,934 --> 00:06:41,784","Schafer: Or we'll just prove them all right.","Schafer: 或者我們會證明他們都是對的。"
"00:07:03,980 --> 00:07:08,247","Schafer: No, I mean nothing I had done before prepared me for what it's like to work with publishers.","Schafer: 不，我的意思是，以前做過的任何事情都無法讓我準備好與發行商合作的感覺。"
"00:07:08,247 --> 00:07:14,259","Rice: When you're working with a publisher, a lot of times they get involved with design decisions.","Rice: 當你與發行商合作時，他們很多時候會介入設計決策。"
"00:07:14,259 --> 00:07:16,816","And you have to make compromises.","而且你必須做出妥協。"
"00:07:16,816 --> 00:07:23,229","Gilbert: You know, if a publisher is out there, from the outside kind of poking in and making you do things.","Gilbert: 你知道的，如果有發行商在外面插手，讓你做一些事情。"
"00:07:23,229 --> 00:07:26,219","You know, that's where I think things can kind of come off the rails.","你知道，那就是我認為事情可能會脫軌的地方。"
"00:07:26,219 --> 00:07:31,398","Schafer: And the way it felt, I don't know if this makes any sense, but my head, like the creative process of making a game was like,","Schafer: 這種感覺，我不知道這是否有道理，但我的思維，就像是製作遊戲的創意過程就像是，"
"00:07:31,398 --> 00:07:36,886","you look at a field of floating, multi-colored dots, drifting slowly to the ground.","你看著一片漂浮的、多色的點，慢慢地漂向地面。"
"00:07:36,886 --> 00:07:40,587","And eventually when they hit the ground, they're going to make like a painting on the floor.","最終當它們落到地面時，就會像在地板上畫畫一樣。"
"00:07:40,587 --> 00:07:43,146","But you've got to kind of like move them around, give them the right and see.","但你得有點像是搬動它們，給它們正確的位置。"
"00:07:43,146 --> 00:07:50,081","And then as they fall, you start to see where you need more color and you move them around and slowly they settle and you just add a sound.","然後當它們落下時，你開始看到你需要更多顏色的地方，然後搬動它們，慢慢地它們會穩定下來，你只需要加上一個聲音。"
"00:07:50,081 --> 00:07:51,376","And then you're done.","然後你完成了。"
"00:07:51,376 --> 00:07:54,212","So it'd be like, Tim, what do you do with that green dot?","所以會像，蒂姆，你怎麼處理那個綠點？"
"00:07:54,212 --> 00:07:55,632","Phew, I can't tell you.","呼，我不能告訴你。"
"00:07:55,632 --> 00:07:57,083","You're like, ok, that dot?","你會說，好的，那個點？"
"00:07:57,083 --> 00:07:58,131","Can we just nail that down here.","我們能不能就把那個固定在這裡。"
"00:07:58,131 --> 00:07:59,151","Can we just say what that's going to be?","我們能不能說那會是什麼？"
"00:07:59,151 --> 00:08:00,200","And you're like, no.","而你會說，不。"
"00:08:00,200 --> 00:08:01,558","So let's just say where all the red dots are going to be, ok.","所以我們就說所有紅點要在哪裡，好的。"
"00:08:01,558 --> 00:08:02,823","Could you just nail all the red dots down?","你能不能把所有紅點都固定下來？"
"00:08:02,823 --> 00:08:03,996","Like, no!","就像，不！"
"00:08:03,996 --> 00:08:08,283","How about if we just start on this edge and we just take all the dots, like this and just nail all those dots.","如果我們就從這邊開始，然後拿走所有這樣的點，然後把所有那些點都固定下來怎麼樣。"
"00:08:08,283 --> 00:08:09,546","No!","不！"
"00:08:09,546 --> 00:08:15,374","Rice: Yeah. The games industry as a whole, I think, is in a really weird spot where it's like we're,","Rice: 是的。我認為整個遊戲產業處於一個非常奇怪的境地，就像我們，"
"00:08:15,374 --> 00:08:19,257","like the film industry used to be way back in the day.","就像電影產業當年是那樣。"
"00:08:19,257 --> 00:08:21,909","Where the publishers are running mostly everything.","發行商幾乎掌控了一切。"
"00:08:21,909 --> 00:08:26,410","That's kind of how it was for a long time and it's only now that people are starting to like","這就是它長期以來的狀況，直到現在人們才開始像"
"00:08:26,410 --> 00:08:29,175","seek out the creators of the games.","尋找遊戲創作者。"
"00:08:29,175 --> 00:08:34,046","That people who are making the game and try to actually support those people and lift them up a bit.","那些製作遊戲的人，並試圖實際支持那些人，並稍微提升他們一點。"
"00:08:34,046 --> 00:08:38,197","Young Man: Because Tim Schafer has consistently put out quality games.","年輕人：因為蒂姆·斯切弗一直推出高質量的遊戲。"
"00:08:38,197 --> 00:08:42,296","Man: Games that have very large and dedicated followings.","男子：這些遊戲擁有非常龐大且忠實的粉絲群。"
"00:08:42,296 --> 00:08:46,303","Man: People would probably pay him just to spit on their screen.","男子：人們可能會付錢給他，只為了讓他在他們的螢幕上吐口水。"
"00:08:46,303 --> 00:08:48,215","Young Man: And we do appreciate that.","年輕人：我們確實很感謝。"
"00:08:48,215 --> 00:08:51,020","We show our appreciation by doing what we've done.","我們通過做我們已經做過的事來表達我們的感謝。"
"00:08:51,020 --> 00:08:55,243","By giving them the funding for this game in eight hours.","在八個小時內為這款遊戲提供資金。"
"00:08:55,243 --> 00:08:58,449","Rice: The whole like past month has been like a complete blur.","Rice: 過去這個月完全是一片模糊。"
"00:08:58,449 --> 00:09:00,854","It's gone so quick.","過得真快。"
"00:09:00,854 --> 00:09:05,447","But, yeah, we were in Vegas for DICE the day that we launched.","但，是的，我們在發佈那天在拉斯維加斯參加DICE。"
"00:09:05,447 --> 00:09:08,960","Schafer: And we'd had a hard month, because we had a game cancel.","Schafer: 我們過了一個艱難的月份，因為我們有一款遊戲被取消了。"
"00:09:08,960 --> 00:09:13,616","The whole team, we're trying to figure out whether we could swing having this team stay on","整個團隊，我們試圖弄清楚是否能讓這個團隊繼續留在公司裡"
"00:09:13,616 --> 00:09:17,006","or do we have to let go of twelve people to keep the company afloat?","還是我們必須讓十二個人離開才能維持公司的運轉？"
"00:09:17,006 --> 00:09:20,078","We've never laid off anyone for money before.","我們以前從未因為錢的問題裁員。"
"00:09:20,078 --> 00:09:26,772","So we were, and even besides the financial concerns, it was just such a, it doesn't feel like you're winning when you have a game canceled.","所以我們當時，除了財務上的擔憂，還有就是，當一款遊戲被取消時，覺得自己並沒有贏。"
"00:09:26,772 --> 00:09:30,532","You feel like it's a big, you know, you've lost.","你會覺得這是一種很大的失敗，你知道，你失敗了。"
"00:09:30,532 --> 00:09:33,677","Schafer: I'm about to launch our first Kickstarter project.","Schafer: 我即將啟動我們的第一個Kickstarter項目。"
"00:09:33,677 --> 00:09:38,456","Rice: It kind of just all came together right when we were out there and we had a bit of time before a meeting and we're like,","Rice: 就在我們在外面、有一點時間在會議前，這一切都突然拼湊起來了，我們像，"
"00:09:38,456 --> 00:09:39,907","we could launch this today.","我們可以今天就啟動這個。"
"00:09:39,907 --> 00:09:42,928","Schafer: Yeah, I did have to like decide, well, we'll launch our Kickstarter.","Schafer: 是的，我確實必須決定，好吧，我們啟動我們的Kickstarter。"
"00:09:42,928 --> 00:09:45,394","That, for time, we're like I guess $200,000.","於是，為了時間，我們像是，我猜是20萬美元。"
"00:09:45,394 --> 00:09:47,305","We could make something for $200,000.","我們可以用20萬美元做一些事情。"
"00:09:47,305 --> 00:09:51,159","And I had to accept it, I might only get $200,000, right?","我必須接受，可能只能得到20萬美元，對嗎？"
"00:09:51,159 --> 00:09:54,550","And then when I was nervous about it, so I upped it to three, right.","然後當我為此感到緊張時，我就將目標提高到30萬，對嗎。"
"00:09:54,550 --> 00:09:58,002","And so it was like, yeah, we can make something for $300,000.","所以就是，對，我們可以用30萬美元做一些事情。"
"00:09:58,002 --> 00:09:59,389","Because we could.","因為我們可以。"
"00:09:59,389 --> 00:10:03,645","You know, we'd been talking about iPhone games recently and it's like three people for six months or something like that.","你知道，我們最近一直在談論iPhone遊戲，就像是三個人工作六個月之類的。"
"00:10:03,645 --> 00:10:05,435","Yeah, we could make something with three people and six months.","是的，我們可以用三個人和六個月的時間做一些事情。"
"00:10:05,435 --> 00:10:11,581","It would look like a flash game or it'd look like an iPhone game, but it would technically be a game.","它看起來會像一款Flash遊戲或iPhone遊戲，但技術上仍然是一款遊戲。"
"00:10:11,581 --> 00:10:13,811","By all scientific definitions.","按照所有科學定義來說。"
"00:10:13,811 --> 00:10:16,890","Schafer: I'm nervous.","Schafer: 我很緊張。"
"00:10:17,840 --> 00:10:18,400","Launch.","啟動。"
"00:10:22,040 --> 00:10:23,220","Review, i'll have to review it.","審查，我得審查一下。"
"00:10:23,500 --> 00:10:27,140","Rice: Oh, man. That was such a letdown!","Rice: 哦，天啊。那真是令人失望！"
"00:10:27,150 --> 00:10:29,339","Schafer: OK. No, no, that's just fine print.","Schafer: 好的。不，不，那只是小字條款。"
"00:10:29,339 --> 00:10:32,329","It's just that I never read these things.","只是我從來不讀這些東西。"
"00:10:32,329 --> 00:10:33,471","Should I do it?","我應該做嗎？"
"00:10:33,471 --> 00:10:34,736","Rice: Yeah, do it.","Rice: 是的，做吧。"
"00:10:34,736 --> 00:10:36,464","Schafer: It couldn't hurt, right?","Schafer: 不會有害，對吧？"
"00:10:36,464 --> 00:10:38,067","Rice: It could, but we're not going to let it.","Rice: 可能會，但我們不會讓它發生。"
"00:10:38,067 --> 00:10:41,025","Schafer: Whoo!","Schafer: 呼！"
"00:10:41,500 --> 00:10:45,374","Rice: I remember like as soon as we hit it up and we refresh, it was like at $30.","Rice: 我記得剛一點提交並刷新，就已經到達30美元了。"
"00:10:45,374 --> 00:10:47,910","We're like, holy crap! There's already $30.","我們當時像是，天哪！已經有30美元了。"
"00:10:47,910 --> 00:10:50,409","Schafer: I think I'm going to look at how much, I don't care about money.","Schafer: 我想我要看看有多少，我不在乎錢。"
"00:10:50,409 --> 00:10:55,405","I'm not going to look. I'm going to look, just one second.","我不會看的。我會看的，等一下。"
"00:10:55,405 --> 00:10:57,688","Rice: What are we at?","Rice: 我們現在到哪了？"
"00:10:57,688 --> 00:10:59,911","OK, so we posted this, what? Two hours ago, right?","好的，所以我們發布這個，什麼？兩個小時前，對吧？"
"00:10:59,911 --> 00:11:01,504","Schafer: Two hours ago.","Schafer: 兩個小時前。"
"00:11:01,504 --> 00:11:03,756","We launched our Kickstarter project two hours ago.","我們兩個小時前啟動了我們的Kickstarter項目。"
"00:11:03,756 --> 00:11:07,889","$106,000 in 56.","56分鐘內籌到了106,000美元。"
"00:11:07,889 --> 00:11:10,848","A hundred and six, I can't count so high.","一百零六，我數不到這麼高。"
"00:11:10,848 --> 00:11:12,976","It's such a high number, that's crazy.","這是一個如此高的數字，太瘋狂了。"
"00:11:12,976 --> 00:11:14,918","It's too much money.","這錢太多了。"
"00:11:14,918 --> 00:11:19,637","Rice: Yeah. So when we hit a million, that was definitely like, that was the day after.","Rice: 是的。所以當我們達到一百萬，那絕對是像，是第二天。"
"00:11:19,637 --> 00:11:21,427","One day after we launched, right?","我們啟動後一天，對吧？"
"00:11:21,427 --> 00:11:22,783","Rice: What are we at?","Rice: 我們現在到哪了？"
"00:11:22,783 --> 00:11:25,304","Schafer: I want to just say I love you guys and not for the money.","Schafer: 我只是想說我愛你們，而且不是為了錢。"
"00:11:25,304 --> 00:11:27,121","Offscreen: 999,700!","螢幕外：999,700！"
"00:11:28,600 --> 00:11:31,040","Muir: Oh my god, they're counting down to a refresh.","Muir: 天哪，他們在倒數刷新。"
"00:11:31,589 --> 00:11:32,529","F5!","F5！"
"00:11:39,560 --> 00:11:40,840","Muir: Oh my God! It's so exciting.","Muir: 天哪！太興奮了。"
"00:11:40,957 --> 00:11:43,360","Rice: What's the number?","Rice: 數字是多少？"
"00:11:43,680 --> 00:11:46,780","Offscreen: Refresh! Refresh!","螢幕外：刷新！刷新！"
"00:11:47,040 --> 00:11:48,615","Min: The internet has crashed.","Min: 網路當機了。"
"00:11:48,960 --> 00:11:50,840","No!","不！"
"00:11:51,360 --> 00:11:52,700","Min: The internet has crashed.","Min: 網路當機了。"
"00:11:53,699 --> 00:11:54,979","Rice: And what? No!","Rice: 還有什麼？不！"
"00:11:56,520 --> 00:11:57,560","Schafer: Where's my phone?","Schafer: 我的手機在哪裡？"
"00:11:57,820 --> 00:11:59,080","Muir: The Internet's crashed.","Muir: 網路當機了。"
"00:11:59,960 --> 00:12:04,614","[Offscreen Yelling] [Distortion]","[螢幕外喊叫] [變形聲]"
"00:12:05,740 --> 00:12:07,180","I think they all died. They're dying!","我覺得他們都死了。他們正在死！"
"00:12:11,300 --> 00:12:12,860","Are you guys ok? What happened?","你們沒事嗎？發生了什麼事？"
"00:12:14,610 --> 00:12:16,677","Oh, they're being crushed. It's horrible.","哦，他們被壓碎了。太可怕了。"
"00:12:16,677 --> 00:12:19,737","Muir: Oh, no! No!","Muir: 哦，不！不！"
"00:12:21,640 --> 00:12:22,480","What happened?","發生了什麼事？"
"00:12:23,040 --> 00:12:27,580","[Distortion] Muir: It's a million dollars!","[變形聲] Muir: 那是一百萬美元！"
"00:12:27,611 --> 00:12:28,233","Rice: Is it?","Rice: 是嗎？"
"00:12:28,233 --> 00:12:29,973","Muir: That's what a million dollars sounds like.","Muir: 那是一百萬美元聽起來的樣子。"
"00:12:30,440 --> 00:12:32,080","Offscreen: What do you mean it crashed?","螢幕外：你說它當機了是什麼意思？"
"00:12:32,820 --> 00:12:34,100","Offscreen: Kickstarter crashed.","螢幕外：Kickstarter當機了。"
"00:12:37,520 --> 00:12:39,000","Muir: Kickstarter crashed!","Muir: Kickstarter當機了！"
"00:12:39,390 --> 00:12:40,790","Schafer: No.","Schafer: 不。"
"00:12:40,960 --> 00:12:52,720","[Offscreen yelling] Rice: Yeah, that was definitely one of the high points,","[螢幕外喊叫] Rice: 是的，那絕對是高光時刻之一，"
"00:12:52,866 --> 00:12:56,318","where it was like, holy crap -- This is a huge thing.","那時就像，天哪——這是一件大事。"
"00:12:56,318 --> 00:12:58,476","Muir: Whoo! A million in 24 hours.","Muir: 呼！一天內一百萬。"
"00:12:58,476 --> 00:13:00,853","Tim Schafer, you just made a million dollars in 24 hours!","蒂姆·斯切弗，你剛在24小時內賺到了一百萬美元！"
"00:13:00,853 --> 00:13:03,442","What do you, what are you doing?","你在做什麼？你在做什麼？"
